## ① 媒介中心性ランキング
順位,フレーバー,媒介中心性スコア,所属コミュニティ,コミュニティ代表
1,ミント,0.103803,C0,ミント/レモン系
2,レモン,0.096390,C0,ミント/レモン系
3,バニラ,0.075149,C2,ミルク/バニラ系
4,ブルーベリー,0.074445,C0,ミント/レモン系
5,オレンジ,0.074252,C0,ミント/レモン系
6,ミルク,0.066340,C2,ミルク/バニラ系
7,シガー,0.059815,C1,シガー/チェリー系
8,ハニー,0.052939,C2,ミルク/バニラ系
9,ベリー,0.046022,C0,ミント/レモン系
10,アールグレイ,0.045902,C2,ミルク/バニラ系

## ② リフト値ランキング（共起2-5回）
順位,フレーバーA,フレーバーB,共起回数,FreqA,FreqB,Lift値
1,カルダモンミルク,モヒート,4,5,6,29.60
2,CHOCOLATE,カプチーノ,2,4,4,27.75
3,EARL GREY,バター,3,4,8,20.81
4,ウォーターメロン/スイカ,メロン,3,4,13,12.81
5,カルダモンミルク,バナナ,4,5,15,11.84
6,MANGO,マンゴー,3,4,15,11.10
7,ミントクリーム,ローズ,2,5,8,11.10
8,キウイ,ピーチ,4,8,10,11.10
9,アールグレイ,コニャック,5,17,6,10.88
10,ザクロ,ラズベリー,3,6,11,10.09

## ③ クロス・コミュニティ・エッジ
順位,フレーバーA,コミュA,フレーバーB,コミュB,共起回数,クロス説明
1,バニラ,C2,ミント,C0,14,ミルク/バニラ系 × ミント/レモン系
2,ブルーベリー,C0,バニラ,C2,10,ミント/レモン系 × ミルク/バニラ系
3,ミルク,C2,レモン,C0,7,ミルク/バニラ系 × ミント/レモン系
4,オレンジ,C0,バニラ,C2,7,ミント/レモン系 × ミルク/バニラ系
5,ベリー,C0,ラズベリー,C1,7,ミント/レモン系 × シガー/チェリー系
6,ミルク,C2,ベリー,C0,6,ミルク/バニラ系 × ミント/レモン系
7,ブルーベリー,C0,ラズベリー,C1,6,ミント/レモン系 × シガー/チェリー系
8,アールグレイ,C2,ミント,C0,6,ミルク/バニラ系 × ミント/レモン系
9,バニラ,C2,レモン,C0,6,ミルク/バニラ系 × ミント/レモン系
10,ミルク,C2,オレンジ,C0,5,ミルク/バニラ系 × ミント/レモン系
